Reference Type;Reference Id;Authors, Primary;Title Primary;Periodical Full;Periodical Abbrev;Pub Year;Pub Month & Day;Pub Date Free From;Volume;Issue;Start Page;Other Pages;Keywords;Abstract;Notes;Personal Notes;Authors, Secondary;Title Secondary;Edition;Publisher;Place Of Publication;Authors, Tertiary;Authors, Quaternary;Authors, Quinary;Title, Tertiary;ISSN/ISBN;Availability;Author/Address;Accession Number;Output Language;Language;Classification;Sub file/Database;Original Foreign Title;Links;URL;DOI;PMID;PMCID;Call Number;Database;Data Source;Identifying Phrase;Retrieved Date;Shortened Title;User 1;User 2;User 3;User 4;User 5;User 6;User 7;User 8;User 9;User 10;User 11;User 12;User 13;User 14;User 15
Journal Article;RefID:1073-charalambous2021working;"Charalambous,Charalambos Y.;Praetorius,Anna-Katharina;Sammons,Pamela;Walkowiak,Temple;Jentsch,Armin;Kyriakides,Leonidas";Working more collaboratively to better understand teaching and its quality: Challenges faced and possible solutions;Studies in Educational Evaluation; ;2021; ;dec-21;71; ;101092; ; ;"Given the need to develop common frameworks for conceptualizing teaching quality and common instruments for measuring it, the current paper brings together a small group of interested scholars who have used generic, content-specific, and hybrid frameworks and classroom observation instruments to reflect on how collaboration can be enhanced in research on teaching quality. Five categories of challenges that inhere in such collaborative work are identified and discussed: establishing common goals and agendas; resolving differences in terminology and structure; addressing issues of operationalization and measurement; dealing with insufficient transparency and the need for sharing information; and attending to issues of limited funding. We also offer some possible solutions for dealing with these challenges. These solutions are envisioned to contribute toward moving the field forward by supporting more scholarly collaborations in the future.";ID: 271765;;;;;;;;;;;0191-491X;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0191491X21001188;https://www.sciencedirect.com/science/article/pii/S0191491X21001188;https://doi.org/10.1016/j.stueduc.2021.101092;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:1072-gharbo2020autonomic;Gharbo,Raouf S.;Autonomic Rehabilitation: Adapting to Change;Physical Medicine and Rehabilitation Clinics of North America;Phys.Med.Rehabil.Clin.N.Am.;2020;;nov-20;31;4;633;648;;;ID: 273353;;;;;;;;;;;1047-9651;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S1047965120300553;https://www.sciencedirect.com/science/article/pii/S1047965120300553;https://doi.org/10.1016/j.pmr.2020.07.003;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:1071-2020subject;Subject Index;;Fuel and Energy Abstracts;;2020;;nov-20;61;6;662;674;;;ID: 271486;;;;;;;;;;;0140-6701;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0140670120300357;https://www.sciencedirect.com/science/article/pii/S0140670120300357;https://doi.org/10.1016/j.fueleneab.2020.09.003;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:1070-ballotta2022smiles;"Ballotta,Laura;Rayée,Grégory";Smiles & smirks: Volatility and leverage by jumps;European Journal of Operational Research;Eur.J.Oper.Res.;2022;;1 May 2022;298;3;1145;1161;;We propose a novel flexible framework for the joint evolution of stock log-returns and their volatility based on time changed Lévy processes. The novelty of the approach stems from the generality of the jump structure we endow our model with, and the ability of the model to generate leverage effects out of the pure jump component. We derive the characteristic function and the forward characteristic function of the log-returns, which allow for the efficient pricing of vanilla and forward-start-like option contracts by Fourier transform methods. The proposed framework achieves robust calibration performance properties especially in the case of pure jump specifications. The results offered in this paper could have potentially interesting implications in terms of design of models and hedging strategies, and their development.;ID: 271700;;;;;;;;;;;0377-2217;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S037722172100713X;https://www.sciencedirect.com/science/article/pii/S037722172100713X;https://doi.org/10.1016/j.ejor.2021.08.023;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:1069-fonseca2021assessing;"Fonseca,Tiago;Lagdami,Khanssa;Schröder-Hinrichs,Jens-Uwe";Assessing innovation in transport: An application of the Technology Adoption (TechAdo) model to Maritime Autonomous Surface Ships (MASS);Transport Policy;Transp.Policy;2021;;dec-21;114;;182;195;;Maritime autonomous surface ships (MASS) have received significant attention recently both by academia and industry to the point that the International Maritime Organization (IMO) started a regulatory scoping exercise. So far, most of the discussions have been solely focused on technical developments, thus overlooking the complex array of socio-economic and policy factors. This paper aims to fill this gap by comprehensively analyzing MASS development. We develop and apply a novel model of technology adoption (TechAdo) to holistically assess MASS as an innovation. By triangulating data from elite interviews, with work at the IMO and a systematic literature search, we show that MASS is in development but still in its infancy. Our analyses show that factors in the enabling environment (social acceptance, regulation, and governance), along with human capital, have been overlooked and need to be carefully considered by future research and policy.;ID: 271794;;;;;;;;;;;0967-070X;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0967070X21002705;https://www.sciencedirect.com/science/article/pii/S0967070X21002705;https://doi.org/10.1016/j.tranpol.2021.09.005;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:1068-huang2022valuing;"Huang,Yiming;Mamon,Rogemar;Xiong,Heng";Valuing guaranteed minimum accumulation benefits by a change of numéraire approach;Insurance: Mathematics and Economics;;2022;;March 2022;103;;1;26;;Three correlated risk factors, namely, financial, mortality and lapse risks, are modelled in an integrated way to support the valuation of guaranteed minimum accumulation benefits (GMAB). The dynamics of such risk factors under the risk-adjusted measure needed for valuation are derived. A sequence of reference probability measure changes is employed to obtain a compact and implementable price representations. We demonstrate how a change of numéraire approach facilitates the valuation of a GMAB rider in a variable annuity. A numerical illustration is presented to confirm the computational efficiency and accuracy of our proposed valuation methodology. In particular, our proposed approach on average takes only 0.07% of the computing time for the Monte-Carlo (MC) simulation technique to complete the valuation calculation. Furthermore, the standard errors of our approach's results are lower than those obtained from the MC-based computations. A sensitivity analysis is also performed with respect to various parameters. When there are no renewal options in a GMAB contract, we get the special case of a guaranteed minimum maturity benefit for which a closed-form valuation solution is established.;ID: 271685;;;;;;;;;;;0167-6687;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0167668721001682;https://www.sciencedirect.com/science/article/pii/S0167668721001682;https://doi.org/10.1016/j.insmatheco.2021.11.002;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:1067-cox2020implications;Cox,Louis Anthony;Implications of nonlinearity, confounding, and interactions for estimating exposure concentration-response functions in quantitative risk analysis;Environmental research;Environ.Res.;2020;;aug-20;187;;109638;;;Recent advances in understanding of biological mechanisms and adverse outcome pathways for many exposure-related diseases show that certain common mechanisms involve thresholds and nonlinearities in biological exposure concentration-response (C-R) functions. These range from ultrasensitive molecular switches in signaling pathways, to assembly and activation of inflammasomes, to rupture of lysosomes and pyroptosis of cells. Realistic dose-response modeling and risk analysis must confront the reality of nonlinear C-R functions. This paper reviews several challenges for traditional statistical regression modeling of C-R functions with thresholds and nonlinearities, together with methods for overcoming them. Statistically significantly positive exposure-response regression coefficients can arise from many non-causal sources such as model specification errors, incompletely controlled confounding, exposure estimation errors, attribution of interactions to factors, associations among explanatory variables, or coincident historical trends. If so, the unadjusted regression coefficients do not necessarily predict how or whether reducing exposure would reduce risk. We discuss statistical options for controlling for such threats, and advocate causal Bayesian networks and dynamic simulation models as potentially valuable complements to nonparametric regression modeling for assessing causally interpretable nonlinear C-R functions and understanding how time patterns of exposures affect risk. We conclude that these approaches are promising for extending the great advances made in statistical C-R modeling methods in recent decades to clarify how to design regulations that are more causally effective in protecting human health.;ID: 272394;;;;;;;;;;;0013-9351;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0013935120305314;https://www.sciencedirect.com/science/article/pii/S0013935120305314;https://doi.org/10.1016/j.envres.2020.109638;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:1066-morales-tovar2020modeling;"Morales-Tovar,Melissa Esther;Ramos-Ramírez,Emma Gloria;Salazar-Montoya,Juan Alfredo";Modeling and optimization of the parameters affecting extraction of the chan seed mucilage (Hyptis suaveolens (L.) Poit) by mechanical agitation (MA) and ultrasound-assisted extraction (UAE) in a multiple variables system;Food and Bioproducts Processing;Food Bioprod.Process.;2020;;March 2020;120;;166;178;;"Hydration of the seeds of chan (Hyptis suaveolens (L.) Poit) produces a mucilage that exudes and agglutinates on the surface; the mucilage is difficult to separate from the seed. This study proposes a new strategy for the extraction of hydrated mucilage using the surface response methodology (RSM) and polynomial equations for the optimization of the mucilage extraction by mechanical agitation (MA) and ultrasound-assisted extraction (UAE). The results of the solid:liquid extractions were fitted to a second-order polynomial model for the optimization; the evaluation of the experimental response variables included the yield, viscosity, thixotropy, flow behavior index, consistency coefficient, glass transition temperature, melting temperature, enthalpy and heat capacity. The predicted values of the viscosity, thixotropy, glass transition temperature and melting temperature were significantly different (p < 0.05). The optimal extraction conditions of the mucilage using MA and UAE included the solid:liquid ratios of 1:40 and 1:34.5 with 14.1 and 30 min agitation at 50 and 34.2 °C, respectively. The MA data were compared with the results of UAE and demonstrated that UAE improved certain properties of the mucilage obtained using the optimal extraction conditions proposed by the polynomial models. These conditions enable the use of the mucilage in additional applications in food and pharmaceutical formulations.";ID: 276830;;;;;;;;;;;0960-3085;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0960308519310028;https://www.sciencedirect.com/science/article/pii/S0960308519310028;https://doi.org/10.1016/j.fbp.2020.01.009;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:1065-shen2021critical;"Shen,Zijia;Wang,Feipeng;Wang,Zhiqing;Li,Jian";A critical review of plant-based insulating fluids for transformer: 30-year development;Renewable and Sustainable Energy Reviews;;2021;;May 2021;141;;110783;;;As a non-renewable resource, mineral oil has been re-evaluated for its value and suitability as the coolant and insulator in transformers because of its environmental unfriendliness, fire hazards, and operating efficiency dissatisfaction. As a result, alternative dielectric liquids meeting the demands for more reliable, safer, and cleaner energy has been a critical need. Plant-based insulating fluids, non-toxic to the environment and ultimately biodegradable, have been flowing into the mainstream for achieving cost efficiencies, performance advantages, and enhancing safety. With more than 20 years of field experience, plant-based oils are now employed in more than 600,000 transformers worldwide, and have been established an enviable performance track record. Far from being just a mineral oil replacement, but more significantly, plant-based oils have filled a gap in some specific application scenarios where mineral oils fail to satisfy the fire-safety and environmental standards. This article reviews the research status of plant-based insulating fluids for transformer, including both challenges and outlook circa 2020. Plant-based oils have many inherent advantages over mineral oil, but also have numerous and unique challenges.;ID: 271969;;;;;;;;;;;1364-0321;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S1364032121000782;https://www.sciencedirect.com/science/article/pii/S1364032121000782;https://doi.org/10.1016/j.rser.2021.110783;;;;;;;;;;;;;;;;;;;;;;;
Book, Section;RefID:1064-hamilton2021chapter;"Hamilton,Jerry;Sadat,Yousef;Dwyer,Matthew;Ghali,Pierre;Khandelwal,Bhupendra";Chapter 8 - Thermal stability and impact of alternative fuels;;;2021;;2021;;;149;218;;The fact that turbine engines are running at much higher temperatures and compression ratios drives the need to use fuel, prior to combustion, as a heat removal source confirms the need for a clear understanding of fuel thermal stability. As new alternative jet fuels are introduced into the commercial market, it is imperative that fuel thermal stability is well known and understood. All fuels contain numerous compounds and additives that have an effect on fuel thermal stability. It is important to review fuel composition and the reactions that occur when exposed to oxygen, when heated, and also when blended with other fuels. Currently, the issue of thermal stability in fossil jet fuels and alternative jet fuels is a barrier to having blends of greater than 50% for commercial use. Different pathways and schemes to carbonaceous deposition are discussed along with results of current laboratory testing and historical research. Methods of testing and analysis of the thermal stability of different fuels and blends are also presented in this chapter. The goal carbon net-zero fuels can be accomplished with increased research and attention to these topics.;ID: 780596;;Khandelwal,Bhupendra;Aviation Fuels;;Academic Press;;;;;;9,78013E+12;;;;;;;;;https://www.sciencedirect.com/science/article/pii/B9780128183144000030;https://www.sciencedirect.com/science/article/pii/B9780128183144000030;https://doi.org/10.1016/B978-0-12-818314-4.00003-0;;;;;;;;;;;;;;;;;;;;;;;
