sep=,
Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Modeling Transmission Rate of COVID-19 in Regional Countries to Forecast Newly Infected Cases in a Nation by the Deep Learning Method","Future Data and Security Engineering. Big Data, Security and Privacy, Smart City and Industry 4.0 Applications","","","","10.1007/978-981-16-8062-5_28","Le Duy DongVu Thanh NguyenDinh Tuan LeMai Viet TiepVu Thanh HienPhu Phuoc HuyPhan Trung Hieu","2021","http://link.springer.com/chapter/10.1007/978-981-16-8062-5_28","Chapter"
"Prediction of the COVID-19 infectivity and the sustainable impact on public health under deep learning algorithm","Soft Computing","","","","10.1007/s00500-021-06142-0","Weiwei WangJinghui CaiJiali XuYuxiang WangYulin Zou","2021","http://link.springer.com/article/10.1007/s00500-021-06142-0","Article"
"What to Forecast When Forecasting New Covid-19 Cases? Jordan and the United Arab Emirates as Case Studies","Modelling, Computation and Optimization in Information Systems and Management Sciences","","","","10.1007/978-3-030-92666-3_31","Sameh Al-ShihabiDana I. Abu-Abdoun","2022","http://link.springer.com/chapter/10.1007/978-3-030-92666-3_31","Chapter"
"A Deep Learning Application for Prediction of COVID-19","Impact of AI and Data Science in Response to Coronavirus Pandemic","","","","10.1007/978-981-16-2786-6_7","Aradhana Behura","2021","http://link.springer.com/chapter/10.1007/978-981-16-2786-6_7","Chapter"
"COVID-19 Epidemic Analysis and Prediction Using Machine Learning Algorithms","Emerging Technologies for Battling Covid-19","","","","10.1007/978-3-030-60039-6_3","Arun SolankiTarana Singh","2021","http://link.springer.com/chapter/10.1007/978-3-030-60039-6_3","Chapter"
"Streamed Covid-19 Data Analysis Using LSTM—A Deep Learning Technique","Soft Computing for Problem Solving","","","","10.1007/978-981-16-2712-5_40","Sanjay PatidarRajni JindalNeetesh Kumar","2021","http://link.springer.com/chapter/10.1007/978-981-16-2712-5_40","Chapter"
"Application to Predict the Impact of COVID-19 in India Using Deep Learning","Trends of Data Science and Applications","","","","10.1007/978-981-33-6815-6_6","Kiran S. RajPriyanka Kumar","2021","http://link.springer.com/chapter/10.1007/978-981-33-6815-6_6","Chapter"
"Real-Time Statistics and Visualization of the Impact of COVID-19 in India with Future Prediction Using Deep Learning","Soft Computing for Problem Solving","","","","10.1007/978-981-16-2712-5_56","S. Raj KiranPriyanka Kumar","2021","http://link.springer.com/chapter/10.1007/978-981-16-2712-5_56","Chapter"
"Towards the Prediction of Electricity Prices at the Intraday Market Using Shallow and Deep-Learning Methods","Mining Data for Financial Applications","","","","10.1007/978-3-030-66981-2_9","Christoph ScholzMalte LehnaKatharina BraunsAndré Baier","2021","http://link.springer.com/chapter/10.1007/978-3-030-66981-2_9","Chapter"
"4P Model for Dynamic Prediction of COVID-19: a Statistical and Machine Learning Approach","Cognitive Computation","","","","10.1007/s12559-020-09786-6","Khandaker Tabin HasanM. Mostafizur RahmanMd. Mortuza AhmmedAnjir Ahmed ChowdhuryMohammad Khairul Islam","2021","http://link.springer.com/article/10.1007/s12559-020-09786-6","Article"
