PMID;Title;Authors;Citation;First Author;Journal/Book;Publication Year;Create Date;PMCID;NIHMS ID;DOI
34227657;Machine learning risk prediction of mortality for patients undergoing surgery with perioperative SARS-CoV-2: the COVIDSurg mortality score;COVIDSurg Collaborative.;"Br J Surg. 2021 Nov 11;108(11):1274-1292. doi: 10.1093/bjs/znab183.";COVIDSurg Collaborative;Br J Surg;2021;6-7-2021;PMC8344569;;10.1093/bjs/znab183
32748545;COVID-19 in the geriatric population;Roy J, Jain R, Golamari R, Vunnam R, Sahu N.;Int J Geriatr Psychiatry. 2020 Dec,35(12):1437-1441. doi: 10.1002/gps.5389. Epub 2020 Aug 26.;Roy J;Int J Geriatr Psychiatry;2020;5-8-2020;PMC7436738;;10.1002/gps.5389
32779193;COVID-19 and pregnancy: A review of clinical characteristics, obstetric outcomes and vertical transmission;Pettirosso E, Giles M, Cole S, Rees M.;Aust N Z J Obstet Gynaecol. 2020 Oct,60(5):640-659. doi: 10.1111/ajo.13204. Epub 2020 Aug 10.;Pettirosso E;Aust N Z J Obstet Gynaecol;2020;12-8-2020;PMC7436616;;10.1111/ajo.13204
32284618;Digital technology and COVID-19;Ting DSW, Carin L, Dzau V, Wong TY.;Nat Med. 2020 Apr,26(4):459-461. doi: 10.1038/s41591-020-0824-5.;Ting DSW;Nat Med;2020;15-4-2020;PMC7100489;;10.1038/s41591-020-0824-5
32898840;The mental health impact of the covid-19 pandemic on healthcare workers, and interventions to help them: A rapid systematic review;Muller AE, Hafstad EV, Himmels JPW, Smedslund G, Flottorp S, Stensland SØ, Stroobants S, Van de Velde S, Vist GE.;Psychiatry Res. 2020 Nov,293:113441. doi: 10.1016/j.psychres.2020.113441. Epub 2020 Sep 1.;Muller AE;Psychiatry Res;2020;8-9-2020;PMC7462563;;10.1016/j.psychres.2020.113441
34302772;SARS-CoV-2 infection during pregnancy and risk of preeclampsia: a systematic review and meta-analysis;Conde-Agudelo A, Romero R.;Am J Obstet Gynecol. 2022 Jan,226(1):68-89.e3. doi: 10.1016/j.ajog.2021.07.009. Epub 2021 Jul 21.;Conde-Agudelo A;Am J Obstet Gynecol;2022;24-7-2021;PMC8294655;;10.1016/j.ajog.2021.07.009
32643418;Renal complications in COVID-19: a systematic review and meta-analysis;Kunutsor SK, Laukkanen JA.;Ann Med. 2020 Nov,52(7):345-353. doi: 10.1080/07853890.2020.1790643. Epub 2020 Jul 10.;Kunutsor SK;Ann Med;2020;10-7-2020;PMC7877945;;10.1080/07853890.2020.1790643
33390043;Developmental and Early Life Origins of Cardiometabolic Risk Factors: Novel Findings and Implications;Lurbe E, Ingelfinger J.;Hypertension. 2021 Feb,77(2):308-318. doi: 10.1161/HYPERTENSIONAHA.120.14592. Epub 2021 Jan 4.;Lurbe E;Hypertension;2021;4-1-2021;;;10.1161/HYPERTENSIONAHA.120.14592
32275485;Telemedicine and the COVID-19 Pandemic, Lessons for the Future;Bashshur R, Doarn CR, Frenk JM, Kvedar JC, Woolliscroft JO.;Telemed J E Health. 2020 May,26(5):571-573. doi: 10.1089/tmj.2020.29040.rb. Epub 2020 Apr 8.;Bashshur R;Telemed J E Health;2020;11-4-2020;;;10.1089/tmj.2020.29040.rb
33688671;SARS-CoV-2 Total and Subgenomic RNA Viral Load in Hospitalized Patients;Dimcheff DE, Valesano AL, Rumfelt KE, Fitzsimmons WJ, Blair C, Mirabelli C, Petrie JG, Martin ET, Bhambhani C, Tewari M, Lauring AS.;medRxiv. 2021 Mar 1:2021.02.25.21252493. doi: 10.1101/2021.02.25.21252493. Preprint.;Dimcheff DE;medRxiv;2021;10-3-2021;PMC7941648;;10.1101/2021.02.25.21252493
