sep=,
Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"ArunKumar, K.E., Kalaga, D.V., Mohan Sai Kumar, C., Kawaji, M., Brenza, T.M.","57214614700;26646653300;57226947500;35554440800;25649076400;","Comparative analysis of Gated Recurrent Units (GRU), long Short-Term memory (LSTM) cells, autoregressive Integrated moving average (ARIMA), seasonal autoregressive Integrated moving average (SARIMA) for forecasting COVID-19 trends",2022,"Alexandria Engineering Journal","61","10",,"7585","7603",,,"10.1016/j.aej.2022.01.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122614255&doi=10.1016%2fj.aej.2022.01.011&partnerID=40&md5=38c7802781287df7c07e7b07d4ca84eb",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85122614255
"Verma, H., Mandal, S., Gupta, A.","56909615400;56742708500;57208444355;","Temporal deep learning architecture for prediction of COVID-19 cases in India",2022,"Expert Systems with Applications","195",,"116611","","",,,"10.1016/j.eswa.2022.116611","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124319638&doi=10.1016%2fj.eswa.2022.116611&partnerID=40&md5=af53d65ecbdba40a0fda9d3a1ba11f1d",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85124319638
"Imteaj, A., Amini, M.H.","56486117100;56682556800;","Leveraging asynchronous federated learning to predict customers financial distress",2022,"Intelligent Systems with Applications","14",,"200064","","",,,"10.1016/j.iswa.2022.200064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124007357&doi=10.1016%2fj.iswa.2022.200064&partnerID=40&md5=5188678c0e1fe6a2ad8d8437c43c46cb",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85124007357
"Ferchichi, A., Abbes, A.B., Barra, V., Farah, I.R.","57433326900;57188727309;7003814013;7006607836;","Forecasting vegetation indices from spatio-temporal remotely sensed data using deep learning-based approaches: A systematic literature review",2022,"Ecological Informatics","68",,"101552","","",,1,"10.1016/j.ecoinf.2022.101552","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123794540&doi=10.1016%2fj.ecoinf.2022.101552&partnerID=40&md5=edb21450d03b7851df5a2e7c884df69d",Review,"Final","",Scopus,2-s2.0-85123794540
"Liu, D., Ding, W., Dong, Z.S., Pedrycz, W.","57441318300;57193448087;57196343105;57234183900;","Optimizing deep neural networks to predict the effect of social distancing on COVID-19 spread",2022,"Computers and Industrial Engineering","166",,"107970","","",,,"10.1016/j.cie.2022.107970","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124102793&doi=10.1016%2fj.cie.2022.107970&partnerID=40&md5=d0564b5dce4deaf9e1d882950a8a92b6",Article,"Final","",Scopus,2-s2.0-85124102793
"Liaw, S.-T., Kuziemsky, C., Farin, H.","57222409062;10144337000;57420950100;","Editorial: Special issue on “The Primary Care Informatics response to COVID-19”",2022,"International Journal of Medical Informatics","160",,"104690","","",,,"10.1016/j.ijmedinf.2022.104690","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123261801&doi=10.1016%2fj.ijmedinf.2022.104690&partnerID=40&md5=4a8f29422b15f5a3681ec3c6c7ba0f5c",Editorial,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85123261801
"Gonwirat, S., Choompol, A., Wichapa, N.","57219316903;57192380610;57193743159;","A combined deep learning model based on the ideal distance weighting method for fake news detection",2022,"International Journal of Data and Network Science","6","2",,"347","354",,,"10.5267/j.ijdns.2022.1.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123409798&doi=10.5267%2fj.ijdns.2022.1.003&partnerID=40&md5=e98d7b28dbb1959f5bf6124bf10ebed0",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85123409798
"Ghahremanloo, M., Lops, Y., Choi, Y., Jung, J., Mousavinezhad, S., Hammond, D.","57203115077;57209297995;8321858500;57210591432;57218846315;15839736800;","A comprehensive study of the COVID-19 impact on PM2.5 levels over the contiguous United States: A deep learning approach",2022,"Atmospheric Environment","272",,"118944","","",,,"10.1016/j.atmosenv.2022.118944","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123082961&doi=10.1016%2fj.atmosenv.2022.118944&partnerID=40&md5=16006f12aed9978d1196f70b3de948c3",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85123082961
"Barot, V., Patel, D.R.","57364076400;57364201400;","A physiological signal compression approach using optimized Spindle Convolutional Auto-encoder in mHealth applications",2022,"Biomedical Signal Processing and Control","73",,"103436","","",,,"10.1016/j.bspc.2021.103436","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120708188&doi=10.1016%2fj.bspc.2021.103436&partnerID=40&md5=706f53735822a9bd9c3e5a36c63a326c",Article,"Final","",Scopus,2-s2.0-85120708188
"Alyasseri, Z.A.A., Al-Betar, M.A., Doush, I.A., Awadallah, M.A., Abasi, A.K., Makhadmeh, S.N., Alomari, O.A., Abdulkareem, K.H., Adam, A., Damasevicius, R., Mohammed, M.A., Zitar, R.A.","57191348738;57202908939;36187951200;6603390660;57208488241;57204358587;55353965600;57197854295;57188569603;6603451290;57192089894;8858522100;","Review on COVID-19 diagnosis models based on machine learning and deep learning approaches",2022,"Expert Systems","39","3","e12759","","",,8,"10.1111/exsy.12759","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111365730&doi=10.1111%2fexsy.12759&partnerID=40&md5=a6b847fd6b71229f6369f3b03404d951",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85111365730
